per_gop,per_dem,per_third_party,County_with_State,Date,Series_Complete_Pop_Pct,Metro_status,PCTPOVALL_2021,MEDHHINC_2021,WA,BA,IA,AAPI,MEDIAN_AGE_TOT,through_hs,college_up,target
74.2,23.7,2.2,"Bottineau County, ND",05/10/2023,53.5,0,11,67400,91.6,0.7,3.9,1.0,44.3,35.38,64.62,0
84.2,13.8,2.1,"Bowman County, ND",05/10/2023,39.8,0,9,68253,95.1,0.5,2.8,0.2,42.8,45.01,54.99,0
86.1,11.9,2.1,"Burke County, ND",05/10/2023,41.3,0,8,71492,94.5,0.9,1.7,0.9,42.1,35.71,64.29,0
68.5,28.3,3.3,"Burleigh County, ND",05/10/2023,54.0,1,8,71980,89.7,2.2,4.7,1.2,38.4,28.22,71.78,0
49.5,46.8,3.6,"Cass County, ND",05/10/2023,64.8,1,10,66351,85.9,6.9,1.6,3.3,32.6,23.56,76.44,0
74.2,23.5,2.3,"Cavalier County, ND",05/10/2023,63.2,0,8,65006,95.1,0.6,2.0,0.6,47.1,32.69,67.31,0
71.9,25.1,3.1,"Dickey County, ND",05/10/2023,55.6,0,11,55270,91.9,0.8,1.3,1.2,40.3,35.92,64.08,0
75.2,22.0,2.7,"Divide County, ND",05/10/2023,43.2,0,10,64646,91.8,2.0,1.2,2.4,44.6,32.27,67.73,0
83.4,14.6,1.9,"Dunn County, ND",05/10/2023,26.8,0,11,75713,83.2,1.7,9.8,1.7,37.8,45.42,54.58,0
67.7,30.4,1.9,"Eddy County, ND",05/10/2023,53.8,0,11,57277,91.4,0.5,5.5,0.5,42.0,41.75,58.25,0
86.5,11.8,1.7,"Emmons County, ND",05/10/2023,35.5,0,13,55883,95.8,0.5,1.1,0.7,50.7,47.9,52.1,0
76.6,21.0,2.4,"Foster County, ND",05/10/2023,56.5,0,8,69364,95.9,0.5,1.7,0.5,43.9,35.49,64.51,0
84.9,13.4,1.8,"Golden Valley County, ND",05/10/2023,31.2,0,12,63973,93.6,0.8,1.5,0.4,47.6,33.31,66.69,0
54.8,41.6,3.6,"Grand Forks County, ND",05/10/2023,62.7,1,13,64804,86.8,4.2,3.1,3.0,30.8,26.11,73.89,0
82.9,15.0,2.1,"Grant County, ND",05/10/2023,24.8,0,17,48544,94.6,0.1,1.9,0.5,52.4,40.82,59.18,0
72.6,24.6,2.8,"Griggs County, ND",05/10/2023,48.1,0,10,59520,98.0,0.5,0.8,0.1,50.1,37.13,62.87,0
83.2,14.9,1.9,"Hettinger County, ND",05/10/2023,40.8,0,14,54282,93.2,0.8,3.3,0.5,41.6,45.0,55.0,0
83.2,15.1,1.6,"Kidder County, ND",05/10/2023,34.5,0,14,55020,95.9,0.6,1.4,0.9,45.7,45.52,54.48,0
74.1,23.7,2.1,"LaMoure County, ND",05/10/2023,50.5,0,10,65932,97.6,0.5,0.8,0.2,46.3,41.21,58.79,0
86.4,11.9,1.7,"Logan County, ND",05/10/2023,39.5,0,14,51318,96.0,0.4,1.0,0.5,46.9,40.4,59.6,0
78.7,18.8,2.5,"McHenry County, ND",05/10/2023,43.5,0,11,64262,96.0,0.7,1.2,0.4,43.2,40.89,59.11,0
79.2,17.9,2.8,"McIntosh County, ND",05/10/2023,45.5,0,13,54211,95.9,0.9,1.1,0.9,51.1,50.0,50.0,0
82.7,15.0,2.3,"McKenzie County, ND",05/10/2023,24.1,0,9,86294,83.8,2.1,9.0,1.3,31.5,38.82,61.18,0
75.8,22.2,2.0,"McLean County, ND",05/10/2023,48.7,0,10,68419,89.2,0.5,7.7,0.6,46.6,39.75,60.25,0
82.5,15.1,2.5,"Mercer County, ND",05/10/2023,40.5,0,8,78823,93.6,0.6,2.8,0.9,43.9,36.15,63.85,0
73.7,23.3,3.0,"Morton County, ND",05/10/2023,47.9,1,9,71415,90.6,1.9,4.5,0.7,38.0,35.24,64.76,0
67.8,30.2,2.0,"Mountrail County, ND",05/10/2023,46.4,0,11,71941,62.8,1.9,30.6,0.9,34.8,43.02,56.98,0
64.2,33.0,2.8,"Nelson County, ND",05/10/2023,73.7,0,10,62095,94.1,0.9,2.7,0.5,48.9,36.51,63.49,1
86.1,12.1,1.8,"Oliver County, ND",05/10/2023,26.9,1,11,72965,95.2,0.5,3.0,0.4,45.3,34.88,65.12,0
73.9,23.6,2.6,"Pembina County, ND",05/10/2023,58.3,0,9,63809,93.4,0.9,2.6,0.5,45.2,40.61,59.39,0
74.5,23.4,2.2,"Pierce County, ND",05/10/2023,46.9,0,12,55747,91.2,0.8,5.0,1.3,43.9,36.95,63.05,0
66.6,30.5,2.9,"Ramsey County, ND",05/10/2023,60.5,0,12,63973,83.0,1.2,11.4,1.2,40.3,36.11,63.89,0
57.8,38.5,3.7,"Ransom County, ND",05/10/2023,62.9,0,8,71594,91.9,1.0,1.0,1.4,43.7,45.33,54.67,0
80.7,16.7,2.6,"Renville County, ND",05/10/2023,41.1,0,8,66937,95.6,0.5,1.2,0.4,43.5,38.14,61.86,0
64.9,32.1,2.9,"Richland County, ND",05/10/2023,55.2,0,10,65184,92.6,1.3,3.2,0.6,37.9,32.94,67.06,0
33.0,65.2,1.7,"Rolette County, ND",05/10/2023,80.5,0,27,47394,18.2,0.6,77.7,0.3,31.9,39.46,60.54,1
61.2,35.7,3.2,"Sargent County, ND",05/10/2023,61.8,0,9,69666,93.1,2.5,1.5,1.1,44.5,40.48,59.52,0
84.7,12.8,2.5,"Sheridan County, ND",05/10/2023,38.2,0,16,49374,94.0,0.3,2.2,0.7,54.4,52.72,47.28,0
21.8,67.8,10.5,"Sioux County, ND",05/10/2023,66.5,1,42,40307,13.0,0.8,81.1,0.2,28.0,50.07,49.93,0
89.0,10.3,0.7,"Slope County, ND",05/10/2023,11.3,0,12,57922,93.0,1.0,4.9,0.0,51.7,38.79,61.21,0
80.5,16.6,2.9,"Stark County, ND",05/10/2023,38.7,0,10,73453,91.1,3.0,2.0,1.8,34.4,39.87,60.13,0
59.9,36.0,4.0,"Steele County, ND",05/10/2023,48.9,0,8,77013,96.1,0.5,1.3,0.2,46.4,27.94,72.06,0
70.2,26.9,2.9,"Stutsman County, ND",05/10/2023,56.2,0,11,63871,92.9,2.2,2.1,0.9,41.1,44.45,55.55,0
70.7,27.0,2.3,"Towner County, ND",05/10/2023,49.9,0,11,66452,91.6,0.3,5.4,0.6,49.6,42.93,57.07,0
